scenario_id,customerId,accountId,productType,amount,v1_decision,v1_ruleApplied,v2_decision,v2_ruleApplied,equivalencia_funcional,diferencia_visible
1,1,1,LOAN,10000,APPROVED,CREDIT_APPROVAL_RULE,APPROVED,TREE_LOAN_VIP_CREDIT_APPROVAL,Si,Cambia el identificador de regla
2,2,2,LOAN,10000,REJECTED,CREDIT_APPROVAL_RULE,REJECTED,TREE_LOAN_REGULAR_CREDIT_REJECTION,Si,v2 separa explicitamente regla de rechazo
3,3,3,LOAN,10000,REJECTED,CREDIT_APPROVAL_RULE,REJECTED,TREE_LOAN_NEW_CREDIT_REJECTION,Si,v2 distingue hoja NEW de rechazo
4,1,1,INVESTMENT,10000,APPROVED,PREMIUM_BENEFIT_RULE,APPROVED,TREE_INVESTMENT_VIP_PREMIUM_BENEFIT,Si,v2 reporta nodo del arbol
5,2,2,INVESTMENT,10000,APPROVED,DISCOUNT_RULE,APPROVED,TREE_INVESTMENT_REGULAR_DISCOUNT,Si,Misma logica de descuento distinto nombre
6,3,3,INVESTMENT,10000,APPROVED,COMMISSION_RULE,APPROVED,TREE_INVESTMENT_NEW_COMMISSION,Si,Misma comision distinto nombre
7,4,4,INSURANCE,10000,APPROVED,DISCOUNT_RULE,APPROVED,TREE_INSURANCE_VIP_DISCOUNT,Si,v2 explicita rama VIP INSURANCE
8,2,2,INSURANCE,10000,APPROVED,COMMISSION_RULE,APPROVED,TREE_INSURANCE_REGULAR_COMMISSION,Si,v2 explicita rama REGULAR INSURANCE
9,5,5,LOAN,1500,REJECTED,NONE,REJECTED,TREE_GATE_SUSPENDED_ACCOUNT,Parcial,v2 tiene compuerta explicita para cuentas suspendidas
10,3,3,INSURANCE,900,REJECTED,NONE,REJECTED,TREE_FALLBACK_NO_RULE_CONFIGURED,Si,v2 muestra fallback del arbol

